"model","window","coin","horizon","accuracy","misclassifications","sensitivity","specificity","precision","recall","f1_score","TP","TN","FP","FN","FP_cost_ratio","FN_cost_ratio","total_observations"
"RF","Window 1","DAI","1d",0.975609756097561,0.024390243902439,1,0.969924812030075,0.885714285714286,1,0.93939393939394,31,129,4,0,1,0,164
"RF","Window 1","DAI","3d",0.804878048780488,0.195121951219512,0.971428571428571,0.75968992248062,0.523076923076923,0.971428571428571,0.68,34,98,31,1,0.96875,0.03125,164
"RF","Window 1","DAI","5d",0.835365853658537,0.164634146341463,0.918918918918919,0.811023622047244,0.586206896551724,0.918918918918919,0.71578947368421,34,103,24,3,0.888888888888889,0.111111111111111,164
"RF","Window 1","DAI","7d",0.786585365853659,0.213414634146341,0.871794871794872,0.76,0.53125,0.871794871794872,0.660194174757282,34,95,30,5,0.857142857142857,0.142857142857143,164
"RF","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"RF","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"RF","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"RF","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"RF","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,164,0,0,NA,NA,164
"RF","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"RF","Window 1","USDT","5d",0.939024390243902,0.0609756097560976,0,0.956521739130435,0,0,0,0,154,7,3,0.7,0.3,164
"RF","Window 1","USDT","7d",0.926829268292683,0.073170731707317,0,0.955974842767296,0,0,0,0,152,7,5,0.583333333333333,0.416666666666667,164
"RF","Window 1","USDC","1d",0.963414634146341,0.0365853658536586,0.885714285714286,0.984496124031008,0.93939393939394,0.885714285714286,0.911764705882353,31,127,2,4,0.333333333333333,0.666666666666667,164
"RF","Window 1","USDC","3d",0.932926829268293,0.0670731707317073,0.846153846153846,0.96,0.868421052631579,0.846153846153846,0.857142857142857,33,120,5,6,0.454545454545455,0.545454545454545,164
"RF","Window 1","USDC","5d",0.896341463414634,0.103658536585366,0.733333333333333,0.957983193277311,0.868421052631579,0.733333333333333,0.795180722891566,33,114,5,12,0.294117647058824,0.705882352941177,164
"RF","Window 1","USDC","7d",0.76219512195122,0.23780487804878,0.647058823529412,0.814159292035398,0.611111111111111,0.647058823529412,0.628571428571429,33,92,21,18,0.538461538461538,0.461538461538462,164
"RF","Window 1","UST","1d",0.687116564417178,0.312883435582822,0.369230769230769,0.897959183673469,0.705882352941177,0.369230769230769,0.484848484848485,24,88,10,41,0.196078431372549,0.803921568627451,163
"RF","Window 1","UST","3d",0.571428571428571,0.428571428571429,1,0,0.571428571428571,1,0.727272727272727,92,0,69,0,1,0,161
"RF","Window 1","UST","5d",0.786163522012579,0.213836477987421,0.980952380952381,0.407407407407407,0.762962962962963,0.980952380952381,0.858333333333333,103,22,32,2,0.941176470588235,0.0588235294117647,159
"RF","Window 1","UST","7d",0.821656050955414,0.178343949044586,0.982142857142857,0.422222222222222,0.808823529411765,0.982142857142857,0.887096774193548,110,19,26,2,0.928571428571429,0.0714285714285714,157
"RF","Window 2","DAI","1d",0.990859232175503,0.00914076782449724,0.5,0.995387453874539,0.5,0.5,0.5,5,1079,5,5,0.5,0.5,1094
"RF","Window 2","DAI","3d",0.986263736263736,0.0137362637362637,0.428571428571429,0.997198879551821,0.75,0.428571428571429,0.545454545454545,9,1068,3,12,0.2,0.8,1092
"RF","Window 2","DAI","5d",0.980733944954128,0.0192660550458715,0.392857142857143,0.99623352165725,0.733333333333333,0.392857142857143,0.511627906976744,11,1058,4,17,0.19047619047619,0.80952380952381,1090
"RF","Window 2","DAI","7d",0.955882352941177,0.0441176470588235,0.25,0.980038022813688,0.3,0.25,0.272727272727273,9,1031,21,27,0.4375,0.5625,1088
"RF","Window 2","PAX","1d",0.989705882352941,0.0102941176470588,0,1,NA,0,NA,0,673,0,7,0,1,680
"RF","Window 2","PAX","3d",0.971976401179941,0.028023598820059,0,1,NA,0,NA,0,659,0,19,0,1,678
"RF","Window 2","PAX","5d",0.948224852071006,0.0517751479289941,0,0.984639016897081,0,0,0,0,641,10,25,0.285714285714286,0.714285714285714,676
"RF","Window 2","PAX","7d",0.949554896142433,0.0504451038575667,0,0.995334370139969,0,0,0,0,640,3,31,0.0882352941176471,0.911764705882353,674
"RF","Window 2","USDT","1d",0.997257769652651,0.00274223034734922,0.5,1,1,0.5,0.666666666666667,3,1088,0,3,0,1,1094
"RF","Window 2","USDT","3d",0.968864468864469,0.0311355311355311,0.5,0.973197781885397,0.147058823529412,0.5,0.227272727272727,5,1053,29,5,0.852941176470588,0.147058823529412,1092
"RF","Window 2","USDT","5d",0.21651376146789,0.78348623853211,0.571428571428571,0.211895910780669,0.00934579439252336,0.571428571428571,0.0183908045977011,8,228,848,6,0.992974238875878,0.00702576112412178,1090
"RF","Window 2","USDT","7d",0.507352941176471,0.492647058823529,0.5,0.507476635514019,0.0167910447761194,0.5,0.0324909747292419,9,543,527,9,0.983208955223881,0.0167910447761194,1088
"RF","Window 2","USDC","1d",0.915904936014625,0.0840950639853748,0.021505376344086,0.999000999000999,0.666666666666667,0.021505376344086,0.0416666666666667,2,1000,1,91,0.0108695652173913,0.989130434782609,1094
"RF","Window 2","USDC","3d",0.835164835164835,0.164835164835165,0.0165745856353591,0.997804610318331,0.6,0.0165745856353591,0.032258064516129,3,909,2,178,0.0111111111111111,0.988888888888889,1092
"RF","Window 2","USDC","5d",0.774311926605505,0.225688073394495,0.016,1,1,0.016,0.031496062992126,4,840,0,246,0,1,1090
"RF","Window 2","USDC","7d",0.719669117647059,0.280330882352941,0.0351437699680511,0.996129032258064,0.785714285714286,0.0351437699680511,0.0672782874617737,11,772,3,302,0.00983606557377049,0.99016393442623,1088
"GB","Window 1","DAI","1d",0.975609756097561,0.024390243902439,1,0.969924812030075,0.885714285714286,1,0.93939393939394,31,129,4,0,1,0,164
"GB","Window 1","DAI","3d",0.865853658536585,0.134146341463415,0.971428571428571,0.837209302325581,0.618181818181818,0.971428571428571,0.755555555555555,34,108,21,1,0.954545454545455,0.0454545454545455,164
"GB","Window 1","DAI","5d",0.810975609756098,0.189024390243902,0.918918918918919,0.779527559055118,0.548387096774194,0.918918918918919,0.686868686868687,34,99,28,3,0.903225806451613,0.0967741935483871,164
"GB","Window 1","DAI","7d",0.597560975609756,0.402439024390244,0.871794871794872,0.512,0.357894736842105,0.871794871794872,0.507462686567164,34,64,61,5,0.924242424242424,0.0757575757575758,164
"GB","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"GB","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"GB","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"GB","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"GB","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,163,0,0,NA,NA,163
"GB","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"GB","Window 1","USDT","5d",0.981707317073171,0.0182926829268293,0,1,NA,0,NA,0,161,0,3,0,1,164
"GB","Window 1","USDT","7d",0.957317073170732,0.0426829268292683,0,0.987421383647799,0,0,0,0,157,2,5,0.285714285714286,0.714285714285714,164
"GB","Window 1","USDC","1d",0.908536585365854,0.0914634146341463,0.6,0.992248062015504,0.954545454545455,0.6,0.736842105263158,21,128,1,14,0.0666666666666667,0.933333333333333,164
"GB","Window 1","USDC","3d",0.847560975609756,0.152439024390244,0.41025641025641,0.984,0.888888888888889,0.41025641025641,0.56140350877193,16,123,2,23,0.08,0.92,164
"GB","Window 1","USDC","5d",0.810975609756098,0.189024390243902,0.333333333333333,0.991596638655462,0.9375,0.333333333333333,0.491803278688525,15,118,1,30,0.032258064516129,0.967741935483871,164
"GB","Window 1","USDC","7d",0.768292682926829,0.231707317073171,0.411764705882353,0.929203539823009,0.724137931034483,0.411764705882353,0.525,21,105,8,30,0.210526315789474,0.789473684210526,164
"GB","Window 1","UST","1d",0.656441717791411,0.343558282208589,0.415384615384615,0.816326530612245,0.6,0.415384615384615,0.490909090909091,27,80,18,38,0.321428571428571,0.678571428571429,163
"GB","Window 1","UST","3d",0.639751552795031,0.360248447204969,0.684782608695652,0.579710144927536,0.684782608695652,0.684782608695652,0.684782608695652,63,40,29,29,0.5,0.5,161
"GB","Window 1","UST","5d",0.748427672955975,0.251572327044025,0.895238095238095,0.462962962962963,0.764227642276423,0.895238095238095,0.824561403508772,94,25,29,11,0.725,0.275,159
"GB","Window 1","UST","7d",0.796178343949045,0.203821656050955,0.919642857142857,0.488888888888889,0.817460317460317,0.919642857142857,0.865546218487395,103,22,23,9,0.71875,0.28125,157
"GB","Window 2","DAI","1d",0.992687385740402,0.00731261425959784,0.5,0.997232472324723,0.625,0.5,0.555555555555556,5,1081,3,5,0.375,0.625,1094
"GB","Window 2","DAI","3d",0.985347985347985,0.0146520146520146,0.333333333333333,0.99813258636788,0.777777777777778,0.333333333333333,0.466666666666667,7,1069,2,14,0.125,0.875,1092
"GB","Window 2","DAI","5d",0.970642201834862,0.0293577981651376,0.25,0.989642184557439,0.388888888888889,0.25,0.304347826086957,7,1051,11,21,0.34375,0.65625,1090
"GB","Window 2","DAI","7d",0.740808823529412,0.259191176470588,0.416666666666667,0.751901140684411,0.0543478260869565,0.416666666666667,0.0961538461538461,15,791,261,21,0.925531914893617,0.074468085106383,1088
"GB","Window 2","PAX","1d",0.989705882352941,0.0102941176470588,0,1,NA,0,NA,0,673,0,7,0,1,680
"GB","Window 2","PAX","3d",0.960176991150443,0.0398230088495575,0.0526315789473684,0.986342943854325,0.1,0.0526315789473684,0.0689655172413793,1,650,9,18,0.333333333333333,0.666666666666667,678
"GB","Window 2","PAX","5d",0.920118343195266,0.0798816568047337,0,0.955453149001536,0,0,0,0,622,29,25,0.537037037037037,0.462962962962963,676
"GB","Window 2","PAX","7d",0.857566765578635,0.142433234421365,0.0645161290322581,0.895800933125972,0.0289855072463768,0.0645161290322581,0.04,2,576,67,29,0.697916666666667,0.302083333333333,674
"GB","Window 2","USDT","1d",0.996343692870201,0.00365630712979892,0.5,0.999080882352941,0.75,0.5,0.6,3,1087,1,3,0.25,0.75,1094
"GB","Window 2","USDT","3d",0.982600732600733,0.0173992673992674,0.1,0.990757855822551,0.0909090909090909,0.1,0.0952380952380952,1,1072,10,9,0.526315789473684,0.473684210526316,1092
"GB","Window 2","USDT","5d",0.873394495412844,0.126605504587156,0,0.884758364312268,0,0,0,0,952,124,14,0.898550724637681,0.101449275362319,1090
"GB","Window 2","USDT","7d",0.949448529411765,0.0505514705882353,0,0.965420560747664,0,0,0,0,1033,37,18,0.672727272727273,0.327272727272727,1088
"GB","Window 2","USDC","1d",0.918647166361974,0.0813528336380256,0.0645161290322581,0.998001998001998,0.75,0.0645161290322581,0.118811881188119,6,999,2,87,0.0224719101123595,0.97752808988764,1094
"GB","Window 2","USDC","3d",0.844322344322344,0.155677655677656,0.0773480662983425,0.996706915477497,0.823529411764706,0.0773480662983425,0.141414141414141,14,908,3,167,0.0176470588235294,0.98235294117647,1092
"GB","Window 2","USDC","5d",0.769724770642202,0.230275229357798,0.14,0.957142857142857,0.492957746478873,0.14,0.218068535825545,35,804,36,215,0.143426294820717,0.856573705179283,1090
"GB","Window 2","USDC","7d",0.715073529411765,0.284926470588235,0.0862619808306709,0.969032258064516,0.529411764705882,0.0862619808306709,0.148351648351648,27,751,24,286,0.0774193548387097,0.92258064516129,1088
"PCR","Window 1","DAI","1d",0.914634146341463,0.0853658536585366,0.67741935483871,0.969924812030075,0.84,0.67741935483871,0.75,21,129,4,10,0.285714285714286,0.714285714285714,164
"PCR","Window 1","DAI","3d",0.823170731707317,0.176829268292683,0.428571428571429,0.930232558139535,0.625,0.428571428571429,0.508474576271186,15,120,9,20,0.310344827586207,0.689655172413793,164
"PCR","Window 1","DAI","5d",0.603658536585366,0.396341463414634,0.378378378378378,0.669291338582677,0.25,0.378378378378378,0.301075268817204,14,85,42,23,0.646153846153846,0.353846153846154,164
"PCR","Window 1","DAI","7d",0.23780487804878,0.76219512195122,1,0,0.23780487804878,1,0.38423645320197,39,0,125,0,1,0,164
"PCR","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,164,0,0,NA,NA,164
"PCR","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"PCR","Window 1","USDT","5d",0.981707317073171,0.0182926829268293,0,1,NA,0,NA,0,161,0,3,0,1,164
"PCR","Window 1","USDT","7d",0.969512195121951,0.0304878048780488,0,1,NA,0,NA,0,159,0,5,0,1,164
"PCR","Window 1","USDC","1d",0.792682926829268,0.207317073170732,0.0571428571428571,0.992248062015504,0.666666666666667,0.0571428571428571,0.105263157894737,2,128,1,33,0.0294117647058824,0.970588235294118,164
"PCR","Window 1","USDC","3d",0.76219512195122,0.23780487804878,0,1,NA,0,NA,0,125,0,39,0,1,164
"PCR","Window 1","USDC","5d",0.725609756097561,0.274390243902439,0,1,NA,0,NA,0,119,0,45,0,1,164
"PCR","Window 1","USDC","7d",0.689024390243902,0.310975609756098,0,1,NA,0,NA,0,113,0,51,0,1,164
"PCR","Window 1","UST","1d",0.601226993865031,0.398773006134969,0,1,NA,0,NA,0,98,0,65,0,1,163
"PCR","Window 1","UST","3d",0.428571428571429,0.571428571428571,0,1,NA,0,NA,0,69,0,92,0,1,161
"PCR","Window 1","UST","5d",0.339622641509434,0.660377358490566,0,1,NA,0,NA,0,54,0,105,0,1,159
"PCR","Window 1","UST","7d",0.286624203821656,0.713375796178344,0,1,NA,0,NA,0,45,0,112,0,1,157
"PCR","Window 2","DAI","1d",0.989945155393053,0.0100548446069469,0,0.999077490774908,0,0,0,0,1083,1,10,0.0909090909090909,0.909090909090909,1094
"PCR","Window 2","DAI","3d",0.932234432234432,0.0677655677655677,0.142857142857143,0.947712418300654,0.0508474576271186,0.142857142857143,0.075,3,1015,56,18,0.756756756756757,0.243243243243243,1092
"PCR","Window 2","DAI","5d",0.927522935779816,0.0724770642201835,0.428571428571429,0.940677966101695,0.16,0.428571428571429,0.233009708737864,12,999,63,16,0.79746835443038,0.20253164556962,1090
"PCR","Window 2","DAI","7d",0.859375,0.140625,0.555555555555556,0.869771863117871,0.127388535031847,0.555555555555556,0.207253886010363,20,915,137,16,0.895424836601307,0.104575163398693,1088
"PCR","Window 2","PAX","1d",0.991176470588235,0.00882352941176467,0.142857142857143,1,1,0.142857142857143,0.25,1,673,0,6,0,1,680
"PCR","Window 2","PAX","3d",0.954277286135693,0.0457227138643068,0,0.981790591805766,0,0,0,0,647,12,19,0.387096774193548,0.612903225806452,678
"PCR","Window 2","PAX","5d",0.890532544378698,0.109467455621302,0.12,0.920122887864823,0.0545454545454545,0.12,0.075,3,599,52,22,0.702702702702703,0.297297297297297,676
"PCR","Window 2","PAX","7d",0.744807121661721,0.255192878338279,0.129032258064516,0.774494556765163,0.0268456375838926,0.129032258064516,0.0444444444444444,4,498,145,27,0.843023255813954,0.156976744186047,674
"PCR","Window 2","USDT","1d",0.996343692870201,0.00365630712979892,0.5,0.999080882352941,0.75,0.5,0.6,3,1087,1,3,0.25,0.75,1094
"PCR","Window 2","USDT","3d",0.989010989010989,0.010989010989011,0.3,0.995378927911275,0.375,0.3,0.333333333333333,3,1077,5,7,0.416666666666667,0.583333333333333,1092
"PCR","Window 2","USDT","5d",0.98348623853211,0.0165137614678899,0.285714285714286,0.992565055762082,0.333333333333333,0.285714285714286,0.307692307692308,4,1068,8,10,0.444444444444444,0.555555555555556,1090
"PCR","Window 2","USDT","7d",0.978860294117647,0.0211397058823529,0.222222222222222,0.991588785046729,0.307692307692308,0.222222222222222,0.258064516129032,4,1061,9,14,0.391304347826087,0.608695652173913,1088
"PCR","Window 2","USDC","1d",0.915904936014625,0.0840950639853748,0.032258064516129,0.998001998001998,0.6,0.032258064516129,0.0612244897959184,3,999,2,90,0.0217391304347826,0.978260869565217,1094
"PCR","Window 2","USDC","3d",0.836080586080586,0.163919413919414,0.0220994475138122,0.997804610318331,0.666666666666667,0.0220994475138122,0.0427807486631016,4,909,2,177,0.0111731843575419,0.988826815642458,1092
"PCR","Window 2","USDC","5d",0.776146788990826,0.223853211009174,0.024,1,1,0.024,0.046875,6,840,0,244,0,1,1090
"PCR","Window 2","USDC","7d",0.715073529411765,0.284926470588235,0.012779552715655,0.998709677419355,0.8,0.012779552715655,0.0251572327044025,4,774,1,309,0.0032258064516129,0.996774193548387,1088
"PCR","Window 2","UST","1d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","3d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","5d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PCR","Window 2","UST","7d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 1","DAI","1d",0.890243902439024,0.109756097560976,0.451612903225806,0.992481203007519,0.933333333333333,0.451612903225806,0.608695652173913,14,132,1,17,0.0555555555555556,0.944444444444444,164
"PLS","Window 1","DAI","3d",0.902439024390244,0.0975609756097561,0.542857142857143,1,1,0.542857142857143,0.703703703703704,19,129,0,16,0,1,164
"PLS","Window 1","DAI","5d",0.914634146341463,0.0853658536585366,0.648648648648649,0.992125984251969,0.96,0.648648648648649,0.774193548387097,24,126,1,13,0.0714285714285714,0.928571428571429,164
"PLS","Window 1","DAI","7d",0.817073170731707,0.182926829268293,0.641025641025641,0.872,0.609756097560976,0.641025641025641,0.625,25,109,16,14,0.533333333333333,0.466666666666667,164
"PLS","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PLS","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,164,0,0,NA,NA,164
"PLS","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"PLS","Window 1","USDT","5d",0.981707317073171,0.0182926829268293,0,1,NA,0,NA,0,161,0,3,0,1,164
"PLS","Window 1","USDT","7d",0.969512195121951,0.0304878048780488,0,1,NA,0,NA,0,159,0,5,0,1,164
"PLS","Window 1","USDC","1d",0.786585365853659,0.213414634146341,0,1,NA,0,NA,0,129,0,35,0,1,164
"PLS","Window 1","USDC","3d",0.76219512195122,0.23780487804878,0,1,NA,0,NA,0,125,0,39,0,1,164
"PLS","Window 1","USDC","5d",0.725609756097561,0.274390243902439,0,1,NA,0,NA,0,119,0,45,0,1,164
"PLS","Window 1","USDC","7d",0.689024390243902,0.310975609756098,0,1,NA,0,NA,0,113,0,51,0,1,164
"PLS","Window 1","UST","1d",0.595092024539877,0.404907975460123,0.492307692307692,0.663265306122449,0.492307692307692,0.492307692307692,0.492307692307692,32,65,33,33,0.5,0.5,163
"PLS","Window 1","UST","3d",0.60248447204969,0.397515527950311,0.945652173913043,0.144927536231884,0.595890410958904,0.945652173913043,0.73109243697479,87,10,59,5,0.921875,0.078125,161
"PLS","Window 1","UST","5d",0.654088050314465,0.345911949685535,0.961904761904762,0.0555555555555556,0.664473684210526,0.961904761904762,0.785992217898833,101,3,51,4,0.927272727272727,0.0727272727272727,159
"PLS","Window 1","UST","7d",0.713375796178344,0.286624203821656,1,0,0.713375796178344,1,0.83271375464684,112,0,45,0,1,0,157
"PLS","Window 2","DAI","1d",0.829981718464351,0.170018281535649,0.3,0.834870848708487,0.0164835164835165,0.3,0.03125,3,905,179,7,0.96236559139785,0.0376344086021505,1094
"PLS","Window 2","DAI","3d",0.975274725274725,0.0247252747252747,0,0.994397759103641,0,0,0,0,1065,6,21,0.222222222222222,0.777777777777778,1092
"PLS","Window 2","DAI","5d",0.956880733944954,0.0431192660550459,0.107142857142857,0.979284369114878,0.12,0.107142857142857,0.113207547169811,3,1040,22,25,0.468085106382979,0.531914893617021,1090
"PLS","Window 2","DAI","7d",0.893382352941177,0.106617647058823,0.472222222222222,0.907794676806084,0.149122807017544,0.472222222222222,0.226666666666667,17,955,97,19,0.836206896551724,0.163793103448276,1088
"PLS","Window 2","PAX","1d",0.975,0.025,0.142857142857143,0.983655274888559,0.0833333333333333,0.142857142857143,0.105263157894737,1,662,11,6,0.647058823529412,0.352941176470588,680
"PLS","Window 2","PAX","3d",0.958702064896755,0.0412979351032449,0.0526315789473684,0.984825493171472,0.0909090909090909,0.0526315789473684,0.0666666666666667,1,649,10,18,0.357142857142857,0.642857142857143,678
"PLS","Window 2","PAX","5d",0.83284023668639,0.16715976331361,0.08,0.861751152073733,0.0217391304347826,0.08,0.0341880341880342,2,561,90,23,0.79646017699115,0.20353982300885,676
"PLS","Window 2","PAX","7d",0.637982195845697,0.362017804154303,0.161290322580645,0.660964230171073,0.0224215246636771,0.161290322580645,0.0393700787401575,5,425,218,26,0.89344262295082,0.10655737704918,674
"PLS","Window 2","USDT","1d",0.994515539305302,0.00548446069469832,0,1,NA,0,NA,0,1088,0,6,0,1,1094
"PLS","Window 2","USDT","3d",0.990842490842491,0.00915750915750912,0,1,NA,0,NA,0,1082,0,10,0,1,1092
"PLS","Window 2","USDT","5d",0.987155963302752,0.0128440366972477,0,1,NA,0,NA,0,1076,0,14,0,1,1090
"PLS","Window 2","USDT","7d",0.983455882352941,0.0165441176470589,0,1,NA,0,NA,0,1070,0,18,0,1,1088
"PLS","Window 2","USDC","1d",0.915904936014625,0.0840950639853748,0.010752688172043,1,1,0.010752688172043,0.0212765957446809,1,1001,0,92,0,1,1094
"PLS","Window 2","USDC","3d",0.836080586080586,0.163919413919414,0.0110497237569061,1,1,0.0110497237569061,0.0218579234972678,2,911,0,179,0,1,1092
"PLS","Window 2","USDC","5d",0.769724770642202,0.230275229357798,0,0.998809523809524,0,0,0,0,839,1,250,0.00398406374501992,0.99601593625498,1090
"PLS","Window 2","USDC","7d",0.708639705882353,0.291360294117647,0,0.994838709677419,0,0,0,0,771,4,313,0.0126182965299685,0.987381703470032,1088
"PLS","Window 2","UST","1d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","3d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","5d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","7d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
